category,url
ssd,https://www.komplett.dk/product/1133452/hardware/lagring/harddiskssd/ssd-m2/corsair-force-series-mp600-1tb-m2-ssd#
ssd,https://www.proshop.dk/SSD/Corsair-Force-MP600-NVMe-Gen4-M2-1TB/2779161
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3080-ROG-STRIX-OC-10GB-GDDR6X-RAM-Grafikkort/2876859
bærbar,https://www.proshop.dk/Baerbar/ASUS-TUF-Gaming-A17-FX706IU-H7209T/2877154
bærbar,https://www.proshop.dk/Baerbar/ASUS-ROG-Zephyrus-M15-GU502LU-AZ027T/2884762
bærbar,https://www.komplett.dk/product/1147203/gaming/gaming-pc/baerbar/komplett-khameleon-p9-baerbar-gaming-pc
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3080-TUF-OC-10GB-GDDR6X-RAM-Grafikkort/2876861
gpu,https://www.komplett.dk/product/1168490/hardware/pc-komponenter/grafikkort/asus-geforce-rtx-3090-tuf-oc-gaming
højtaler,https://www.komplett.dk/product/849816/gaming/spiludstyr/gaming-hoejttalere/logitech-z533-pc-hoejttalere#
højtaler,https://www.proshop.dk/Hoejttalere-PC/Logitech-Z533-Black-21-Kanal-Sort/2511000
højtaler,https://www.avxperten.dk/pc-hoejtalere/logitech-pc-hoejttaler-subwoofer-z533.asp
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3070-ROG-STRIX-OC-8GB-GDDR6-RAM-Grafikkort/2876845
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3090-TUF-OC-24GB-GDDR6X-RAM-Grafikkort/2876869
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3090-ROG-STRIX-OC-24GB-GDDR6X-RAM-Grafikkort/2876867
ssd,https://www.komplett.dk/product/1154847/hardware/lagring/harddiskssd/ssd-m2/wd-red-sa500-1tb-m2-ssd
ssd,https://www.proshop.dk/SSD/Kingston-A2000-M2-NVMe-SSD-1TB/2792095
ssd,https://www.komplett.dk/product/1120737/hardware/lagring/harddiskssd/ssd-m2/samsung-970-evo-plus-1tb-ssd
ssd,https://www.komplett.dk/product/1170610/hardware/lagring/harddiskssd/ssd-m2/corsair-mp400-1tb-nvme-pcie-m2-ssd
ssd,https://www.proshop.dk/SSD/Samsung-970-EVO-Plus-SSD-M2-2280-1TB/2695179
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3070-TUF-OC-8GB-GDDR6-RAM-Grafikkort/2876856
mus,https://www.komplett.dk/product/1130318/gaming/spiludstyr/gaming-mus/logitech-g502-lightspeed-traadloes-mus
mus,https://www.proshop.dk/Mus/Logitech-G502-LIGHTSPEED-Gaming-Mus-Optisk-11-knapper-Sort-med-RGB-lys/2772138
gpu,https://www.komplett.dk/product/1174206/hardware/pc-komponenter/grafikkort/asus-geforce-rtx-3060-ti-tuf-gaming-oc#
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3060-Ti-TUF-OC-8GB-GDDR6-RAM-Grafikkort/2886986
gpu,https://www.komplett.dk/product/1178869/hardware/pc-komponenter/grafikkort/asus-geforce-rtx-3060-tuf-gaming-oc
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3060-TUF-OC-12GB-GDDR6-RAM-Grafikkort/2918906
gpu,https://www.proshop.dk/Grafikkort/ASUS-GeForce-RTX-3060-TUF-12GB-GDDR6-RAM-Grafikkort/2918904
